group_id,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
3127,115.0,320.75,460.25,,0.0,,13.5,12.25,1900.25,72.0,14.0,655.0,17.0,26.5,202005100700,202005100800,738.25,681.5,2868.25,3606.5,20,19
3128,115.5,302.0,455.5,,0.0,,14.0,12.5,1900.0,71.0,15.0,800.5,15.5,38.0,202005100800,202005100900,895.5,838.5,2844.0,3739.5,24,22
3129,113.5,322.5,493.0,,0.0,,14.0,12.0,1899.0,72.0,14.0,823.0,16.75,53.5,202005100900,202005101000,933.25,876.5,2900.0,3833.25,24,23
3130,114.25,331.5,515.5,,0.0,,14.0,12.0,1898.25,72.0,13.0,795.0,16.0,59.25,202005101000,202005101100,909.25,854.25,2931.5,3840.75,24,22
3131,116.0,266.5,527.0,,0.0,,14.0,12.0,1898.5,72.0,12.0,705.25,16.75,68.5,202005101100,202005101200,828.5,773.75,2880.0,3708.5,22,21
3132,115.25,262.5,579.0,,0.0,,13.75,12.0,1899.0,72.0,13.75,567.5,17.0,101.25,202005101200,202005101300,725.25,668.75,2927.75,3653.0,20,18
3133,115.0,289.75,634.0,,,,14.0,12.0,1901.5,72.0,14.75,427.75,16.5,90.75,202005101300,202005101400,575.75,518.5,3012.25,3588.0,16,14
3134,113.5,393.75,630.5,,0.0,,14.0,12.0,1901.75,72.0,14.0,301.5,16.25,90.0,202005101400,202005101500,447.75,391.5,3111.5,3559.25,13,11
3135,114.25,379.75,595.75,,0.0,,14.0,12.0,1901.25,72.0,14.0,194.25,17.0,69.25,202005101500,202005101600,320.5,263.5,3063.0,3383.5,9,8
3136,114.5,392.75,508.0,,0.0,,14.0,12.0,1900.25,67.0,13.75,85.5,17.5,71.25,202005101600,202005101700,214.0,156.75,2982.5,3196.5,7,5
